Time started: 2025-07-21 21:56:34.331187
Backend: garnet_mock
Problems: ['Random Number Generator', 'Quantum Fourier Transform', 'Bernstein-Vazirani', "Grover's Algorithm", 'Quantum Phase Estimation']

Problem, Nickname, Results, Shots, Time (ms), Quantum Usage Estimation, Metadata
Quantum Fourier Transform,N/A,"{'000000': 181, '001011': 163, '110100': 172, '111111': 184}",700,10545.795,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'010101': 183, '111111': 166, '101010': 175, '000000': 176}",700,10343.752,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'110010': 182, '111111': 166, '000000': 173, '001101': 179}",700,10167.410,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 215, '000000': 204, '011001': 196, '100110': 185}",800,10306.682,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'110100': 180, '001011': 206, '000000': 201, '111111': 213}",800,10595.502,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'010110': 215, '000000': 191, '111111': 200, '101001': 194}",800,10565.692,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 250, '001101': 234, '000000': 213, '110010': 203}",900,10258.106,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'011001': 214, '000000': 246, '100110': 226, '111111': 214}",900,10390.650,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 217, '110000': 254, '001111': 207, '000000': 222}",900,10467.321,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'101100': 259, '000000': 249, '111111': 241, '010011': 251}",1000,10268.419,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'000000': 245, '101100': 238, '111111': 241, '010011': 276}",1000,10184.548,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'110010': 254, '000000': 257, '111111': 260, '001101': 229}",1000,10286.030,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'11101111': 15, '00000000': 9, '00100111': 9, '11011000': 12, '00010000': 17, '11001000': 14, '00110111': 17, '11111111': 7}",100,10854.536,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'10001110': 24, '00000000': 32, '01110001': 17, '11111111': 27}",100,10127.068,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'11111011': 14, '01100111': 15, '10011100': 8, '01100011': 13, '00000000': 15, '10011000': 13, '11111111': 15, '00000100': 7}",100,10227.280,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'10011010': 47, '11111111': 57, '01100101': 39, '00000000': 57}",200,10158.621,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'01100011': 48, '10011100': 42, '00000000': 48, '11111111': 62}",200,9792.381,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'10011010': 48, '00000000': 51, '01100101': 47, '11111111': 54}",200,10107.023,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'10101100': 87, '01010011': 69, '11111111': 61, '00000000': 83}",300,11327.103,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'11111111': 79, '10011010': 66, '01100101': 70, '00000000': 85}",300,10506.123,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'10011010': 61, '00000000': 87, '11111111': 77, '01100101': 75}",300,9926.833,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'01100101': 94, '10011010': 106, '11111111': 110, '00000000': 90}",400,9921.538,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'00110111': 50, '11001000': 56, '11011000': 38, '00010000': 46, '11101111': 58, '00100111': 58, '00000000': 44, '11111111': 50}",400,10828.888,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'00000000': 73, '01110001': 109, '11111111': 101, '10001110': 117}",400,10532.395,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'11111111': 125, '10011001': 119, '00000000': 111, '01100110': 145}",500,10530.945,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'00000001': 72, '11111110': 61, '01011100': 64, '10100010': 69, '00000000': 61, '11111111': 64, '01011101': 58, '10100011': 51}",500,10033.769,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'00000000': 124, '11111111': 129, '01001101': 107, '10110010': 140}",500,10540.821,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'01100110': 155, '10011001': 153, '11111111': 149, '00000000': 143}",600,10644.939,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'11001100': 67, '00001000': 66, '00000000': 66, '00110011': 100, '11111111': 67, '00111011': 71, '11000100': 78, '11110111': 85}",600,10345.778,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'01100101': 171, '10011010': 144, '00000000': 146, '11111111': 139}",600,10123.465,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'11111111': 180, '01100101': 176, '00000000': 171, '10011010': 173}",700,9659.942,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'00000000': 171, '11111111': 200, '01100101': 175, '10011010': 154}",700,10162.299,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'01000111': 156, '00000000': 164, '11111111': 189, '10111000': 191}",700,10363.712,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'10100011': 197, '11111111': 205, '01011100': 211, '00000000': 187}",800,14764.990,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'10100110': 210, '00000000': 197, '01011001': 209, '11111111': 184}",800,9732.555,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'00010000': 96, '00100111': 106, '11111111': 86, '11001000': 108, '11011000': 96, '00110111': 105, '00000000': 112, '11101111': 91}",800,10612.619,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'01001101': 215, '11111111': 225, '00000000': 224, '10110010': 236}",900,10577.112,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'11111111': 209, '00000000': 227, '00101101': 219, '11010010': 245}",900,12349.291,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'10011010': 248, '00000000': 270, '11111111': 239, '01100101': 243}",1000,11594.099,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'11111111': 245, '01100011': 250, '00000000': 261, '10011100': 244}",1000,11005.395,N/A,Qubit Count: 8
Bernstein-Vazirani,N/A,"{'1': 41, '0': 59}",100,11275.468,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'1': 39, '0': 61}",100,11911.141,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'11': 20, '01': 25, '00': 30, '10': 25}",100,11389.544,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'1': 91, '0': 109}",200,9903.783,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'0': 104, '1': 96}",200,10207.717,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'10': 44, '01': 49, '00': 55, '11': 52}",200,9858.205,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'0': 147, '1': 153}",300,9724.730,N/A,Secret number: 1
Bernstein-Vazirani,N/A,"{'0': 144, '1': 156}",300,11224.173,N/A,Secret number: 1
Bernstein-Vazirani,N/A,"{'0': 195, '1': 205}",400,11005.441,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'1': 199, '0': 201}",400,9470.348,N/A,Secret number: 1
Bernstein-Vazirani,N/A,"{'1': 208, '0': 192}",400,10095.630,N/A,Secret number: 1
Bernstein-Vazirani,N/A,"{'0': 240, '1': 260}",500,11049.462,N/A,Secret number: 1
Bernstein-Vazirani,N/A,"{'00': 109, '11': 125, '01': 148, '10': 118}",500,10457.673,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'10': 169, '01': 113, '11': 145, '00': 173}",600,10064.667,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'00': 129, '01': 168, '10': 149, '11': 154}",600,10358.458,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'1': 305, '0': 295}",600,9993.637,N/A,Secret number: 1
Bernstein-Vazirani,N/A,"{'10': 187, '01': 165, '00': 168, '11': 180}",700,9551.572,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'0': 330, '1': 370}",700,11941.202,N/A,Secret number: 1
Bernstein-Vazirani,N/A,"{'10': 182, '00': 168, '01': 166, '11': 184}",700,10218.138,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'1': 392, '0': 408}",800,10963.870,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'10': 214, '11': 188, '00': 193, '01': 205}",800,10426.934,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'00': 213, '10': 194, '01': 206, '11': 187}",800,9768.044,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'1': 448, '0': 452}",900,11122.367,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'10': 199, '00': 242, '01': 242, '11': 217}",900,10559.793,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'1': 452, '0': 448}",900,10019.908,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'1': 500, '0': 500}",1000,10063.628,N/A,Secret number: 1
Bernstein-Vazirani,N/A,"{'0': 494, '1': 506}",1000,13343.512,N/A,Secret number: 0
Bernstein-Vazirani,N/A,"{'00': 236, '11': 256, '10': 262, '01': 246}",1000,9744.741,N/A,Secret number: 10
Bernstein-Vazirani,N/A,"{'000': 34, '101': 28, '111': 16, '010': 22}",100,9122.727,N/A,Secret number: 001
Bernstein-Vazirani,N/A,"{'001': 27, '000': 20, '110': 22, '111': 31}",100,10284.299,N/A,Secret number: 100
Bernstein-Vazirani,N/A,"{'100': 24, '111': 28, '011': 22, '000': 26}",100,9636.474,N/A,Secret number: 000
Bernstein-Vazirani,N/A,"{'1011': 19, '1010': 29, '1110': 34, '0100': 23, '0000': 21, '0101': 27, '1111': 31, '0001': 16}",200,10369.608,N/A,Secret number: 1000
Bernstein-Vazirani,N/A,"{'111': 50, '000': 59, '100': 44, '011': 47}",200,9872.869,N/A,Secret number: 000
Bernstein-Vazirani,N/A,"{'011': 37, '100': 49, '000': 54, '111': 60}",200,10289.911,N/A,Secret number: 000
Bernstein-Vazirani,N/A,"{'110': 27, '000': 37, '001': 49, '010': 36, '100': 36, '101': 39, '111': 40, '011': 36}",300,10384.697,N/A,Secret number: 101
Bernstein-Vazirani,N/A,"{'111': 30, '001': 49, '011': 32, '000': 45, '101': 31, '110': 31, '010': 44, '100': 38}",300,10294.747,N/A,Secret number: 101
Bernstein-Vazirani,N/A,"{'001': 37, '010': 35, '111': 43, '101': 38, '011': 45, '000': 27, '110': 41, '100': 34}",300,9349.274,N/A,Secret number: 011
Bernstein-Vazirani,N/A,"{'000': 111, '111': 90, '011': 101, '100': 98}",400,9697.869,N/A,Secret number: 000
Bernstein-Vazirani,N/A,"{'111': 102, '110': 98, '000': 96, '001': 104}",400,10719.420,N/A,Secret number: 100
Bernstein-Vazirani,N/A,"{'111': 102, '101': 98, '000': 93, '010': 107}",400,10299.984,N/A,Secret number: 001
Bernstein-Vazirani,N/A,"{'000': 125, '001': 122, '110': 126, '111': 127}",500,10306.789,N/A,Secret number: 010
Bernstein-Vazirani,N/A,"{'111': 63, '100': 65, '110': 58, '101': 56, '000': 62, '001': 62, '011': 68, '010': 66}",500,9797.909,N/A,Secret number: 110
Bernstein-Vazirani,N/A,"{'111': 128, '000': 122, '011': 114, '100': 136}",500,10125.665,N/A,Secret number: 111
Bernstein-Vazirani,N/A,"{'000': 157, '111': 140, '011': 151, '100': 152}",600,9907.415,N/A,Secret number: 111
Bernstein-Vazirani,N/A,"{'011': 71, '100': 86, '010': 82, '101': 68, '001': 68, '110': 69, '000': 92, '111': 64}",600,10015.297,N/A,Secret number: 011
Bernstein-Vazirani,N/A,"{'1010': 67, '0001': 93, '1111': 79, '1011': 66, '0101': 70, '0000': 76, '1110': 69, '0100': 80}",600,10428.740,N/A,Secret number: 1000
Bernstein-Vazirani,N/A,"{'110': 83, '111': 78, '101': 91, '000': 103, '011': 80, '010': 79, '001': 90, '100': 96}",700,9816.479,N/A,Secret number: 101
Bernstein-Vazirani,N/A,"{'000': 175, '110': 174, '001': 178, '111': 173}",700,9931.405,N/A,Secret number: 010
Bernstein-Vazirani,N/A,"{'100': 75, '001': 102, '011': 97, '010': 86, '000': 72, '110': 98, '101': 78, '111': 92}",700,10629.938,N/A,Secret number: 101
Bernstein-Vazirani,N/A,"{'001': 189, '000': 209, '111': 211, '110': 191}",800,10769.052,N/A,Secret number: 010
Bernstein-Vazirani,N/A,"{'000': 193, '110': 204, '111': 209, '001': 194}",800,10018.247,N/A,Secret number: 010
Bernstein-Vazirani,N/A,"{'100': 202, '000': 227, '111': 199, '011': 172}",800,10992.178,N/A,Secret number: 000
Bernstein-Vazirani,N/A,"{'001': 220, '111': 272, '000': 199, '110': 209}",900,11169.280,N/A,Secret number: 010
Bernstein-Vazirani,N/A,"{'110': 107, '111': 102, '000': 105, '010': 118, '011': 114, '001': 128, '101': 116, '100': 110}",900,10169.640,N/A,Secret number: 110
Bernstein-Vazirani,N/A,"{'000': 246, '011': 221, '111': 232, '100': 201}",900,10351.292,N/A,Secret number: 000
Bernstein-Vazirani,N/A,"{'110': 114, '001': 118, '000': 115, '101': 136, '010': 127, '111': 136, '011': 125, '100': 129}",1000,9956.304,N/A,Secret number: 110
Bernstein-Vazirani,N/A,"{'101': 130, '111': 144, '110': 120, '001': 122, '000': 112, '010': 118, '100': 142, '011': 112}",1000,10370.133,N/A,Secret number: 101
Bernstein-Vazirani,N/A,"{'0000': 135, '0001': 126, '1010': 143, '1111': 134, '0100': 110, '1110': 118, '1011': 122, '0101': 112}",1000,10172.216,N/A,Secret number: 1000
Bernstein-Vazirani,N/A,"{'11001': 11, '01001': 12, '10000': 11, '11111': 18, '00110': 13, '01111': 9, '10110': 15, '00000': 11}",100,10473.672,N/A,Secret number: 11001
Bernstein-Vazirani,N/A,"{'10111': 15, '01000': 19, '01011': 9, '10100': 10, '11111': 12, '00011': 11, '11100': 8, '00000': 16}",100,10678.717,N/A,Secret number: 01011
Bernstein-Vazirani,N/A,"{'01011': 26, '11111': 27, '10100': 27, '00000': 20}",100,10893.760,N/A,Secret number: 11111
Bernstein-Vazirani,N/A,"{'00000': 17, '00001': 21, '00101': 31, '11111': 29, '00100': 22, '11110': 29, '11010': 20, '11011': 31}",200,10589.406,N/A,Secret number: 01000
Bernstein-Vazirani,N/A,"{'10100': 52, '11111': 47, '00000': 55, '01011': 46}",200,10080.022,N/A,Secret number: 11110
Bernstein-Vazirani,N/A,"{'11010': 24, '00100': 31, '11111': 26, '11110': 32, '00001': 30, '00000': 21, '00101': 20, '11011': 16}",200,9165.530,N/A,Secret number: 01000
Bernstein-Vazirani,N/A,"{'11111': 39, '10000': 43, '01001': 40, '10110': 41, '01111': 33, '00000': 37, '11001': 27, '00110': 40}",300,10709.149,N/A,Secret number: 10110
Bernstein-Vazirani,N/A,"{'01011': 37, '01111': 39, '11111': 33, '10000': 36, '00000': 31, '00100': 40, '11011': 48, '10100': 36}",300,10706.734,N/A,Secret number: 10100
Bernstein-Vazirani,N/A,"{'11101': 35, '00010': 39, '01000': 31, '10111': 29, '01010': 35, '00000': 42, '11111': 45, '10101': 44}",300,10104.008,N/A,Secret number: 00001
Bernstein-Vazirani,N/A,"{'10011': 52, '00000': 46, '01100': 61, '00100': 48, '11011': 45, '11111': 36, '01000': 48, '10111': 64}",400,11018.935,N/A,Secret number: 01100
Bernstein-Vazirani,N/A,"{'10110': 43, '00000': 44, '01111': 60, '11111': 53, '10000': 53, '00110': 57, '11001': 48, '01001': 42}",400,16232.886,N/A,Secret number: 10110
Bernstein-Vazirani,N/A,"{'11010': 42, '11111': 53, '11110': 47, '00100': 60, '00001': 43, '11011': 52, '00101': 49, '00000': 54}",400,9937.450,N/A,Secret number: 10000
Bernstein-Vazirani,N/A,"{'01001': 52, '00000': 68, '11110': 66, '10111': 62, '11111': 82, '01000': 53, '10110': 59, '00001': 58}",500,9699.608,N/A,Secret number: 01001
Bernstein-Vazirani,N/A,"{'10111': 68, '00011': 55, '01011': 56, '11100': 79, '11111': 73, '00000': 54, '10100': 52, '01000': 63}",500,9811.808,N/A,Secret number: 01011
Bernstein-Vazirani,N/A,"{'00001': 73, '01111': 73, '10001': 61, '11111': 59, '10000': 56, '11110': 55, '00000': 64, '01110': 59}",500,10908.968,N/A,Secret number: 10001
Bernstein-Vazirani,N/A,"{'10000': 69, '11010': 58, '01111': 72, '11111': 81, '00000': 81, '01010': 74, '10101': 80, '00101': 85}",600,10266.764,N/A,Secret number: 10101
Bernstein-Vazirani,N/A,"{'00101': 74, '11110': 69, '11011': 79, '00100': 73, '11010': 73, '00000': 80, '11111': 73, '00001': 79}",600,9606.340,N/A,Secret number: 10000
Bernstein-Vazirani,N/A,"{'11010': 78, '11111': 71, '00101': 80, '01111': 68, '01010': 60, '10101': 95, '00000': 74, '10000': 74}",600,10751.816,N/A,Secret number: 10101
Bernstein-Vazirani,N/A,"{'11111': 168, '10100': 175, '01011': 160, '00000': 197}",700,9945.857,N/A,Secret number: 11111
Bernstein-Vazirani,N/A,"{'01010': 91, '10000': 99, '00101': 64, '01111': 94, '10101': 82, '11111': 101, '11010': 88, '00000': 81}",700,9607.069,N/A,Secret number: 10101
Bernstein-Vazirani,N/A,"{'00000': 175, '10101': 172, '01010': 177, '11111': 176}",700,10580.584,N/A,Secret number: 01111
Bernstein-Vazirani,N/A,"{'01000': 94, '11111': 96, '10101': 103, '00000': 105, '11101': 104, '00010': 97, '10111': 98, '01010': 103}",800,10960.997,N/A,Secret number: 01010
Bernstein-Vazirani,N/A,"{'00001': 110, '00100': 99, '00101': 109, '11110': 89, '11010': 93, '00000': 103, '11111': 103, '11011': 94}",800,9546.942,N/A,Secret number: 01000
Bernstein-Vazirani,N/A,"{'10000': 100, '01111': 101, '11111': 100, '00001': 94, '01110': 100, '11110': 110, '10001': 96, '00000': 99}",800,10159.917,N/A,Secret number: 10001
Bernstein-Vazirani,N/A,"{'000000': 126, '111110': 116, '101011': 87, '111111': 101, '010100': 135, '010101': 122, '101010': 98, '000001': 115}",900,10266.493,N/A,Secret number: 100000
Bernstein-Vazirani,N/A,"{'00001': 115, '11111': 132, '11110': 97, '11100': 110, '11101': 111, '00000': 107, '00011': 131, '00010': 97}",900,9850.138,N/A,Secret number: 00011
Bernstein-Vazirani,N/A,"{'11100': 117, '00011': 106, '00010': 102, '11110': 116, '00000': 129, '11101': 121, '00001': 109, '11111': 100}",900,10586.122,N/A,Secret number: 00011
Bernstein-Vazirani,N/A,"{'00000': 141, '00010': 123, '10000': 110, '01101': 138, '11101': 113, '11111': 118, '10010': 130, '01111': 127}",1000,10603.407,N/A,Secret number: 10010
Bernstein-Vazirani,N/A,"{'11100': 117, '01111': 124, '10000': 121, '00011': 131, '01100': 128, '00000': 141, '10011': 120, '11111': 118}",1000,10259.738,N/A,Secret number: 10011
Bernstein-Vazirani,N/A,"{'10100': 231, '11111': 255, '00000': 262, '01011': 252}",1000,10190.889,N/A,Secret number: 11110
Bernstein-Vazirani,N/A,"{'1000000': 9, '0000000': 9, '0001001': 13, '1001001': 18, '1110110': 13, '0111111': 16, '1111111': 11, '0110110': 11}",100,10772.629,N/A,Secret number: 1001001
Bernstein-Vazirani,N/A,"{'1101011': 16, '0101011': 12, '0010100': 10, '1000000': 12, '1010100': 18, '1111111': 19, '0000000': 7, '0111111': 6}",100,10451.196,N/A,Secret number: 0011110
Bernstein-Vazirani,N/A,"{'1100100': 12, '1111111': 13, '0000000': 12, '0011111': 14, '1111011': 11, '0011011': 12, '1100000': 15, '0000100': 11}",100,10031.877,N/A,Secret number: 0100100
Bernstein-Vazirani,N/A,"{'1000110': 29, '1111011': 33, '0111101': 26, '0000100': 32, '1000010': 15, '0000000': 21, '0111001': 21, '1111111': 23}",200,10278.633,N/A,Secret number: 1011011
Bernstein-Vazirani,N/A,"{'0000000': 27, '1111111': 24, '1000000': 35, '1110101': 30, '0111111': 17, '0110101': 18, '1001010': 27, '0001010': 22}",200,10319.138,N/A,Secret number: 0001111
Bernstein-Vazirani,N/A,"{'0010101': 22, '0010000': 28, '1101010': 28, '1101111': 31, '1111111': 24, '0000101': 23, '1111010': 20, '0000000': 24}",200,10404.878,N/A,Secret number: 0010101
Bernstein-Vazirani,N/A,"{'1010010': 36, '0101101': 34, '1111111': 29, '0010010': 39, '1101101': 43, '0111111': 32, '0000000': 38, '1000000': 49}",300,10513.983,N/A,Secret number: 0010111
Bernstein-Vazirani,N/A,"{'0100001': 41, '0000000': 39, '1111111': 38, '0011110': 29, '0111111': 37, '1011110': 44, '1000000': 35, '1100001': 37}",300,10475.621,N/A,Secret number: 1100001
Bernstein-Vazirani,N/A,"{'0111111': 31, '1000000': 48, '0000000': 31, '1111111': 36, '0101011': 39, '1101011': 42, '0010100': 37, '1010100': 36}",300,10252.867,N/A,Secret number: 0011110
Bernstein-Vazirani,N/A,"{'0000000': 43, '0110111': 47, '1111011': 59, '1001000': 57, '1001100': 55, '0110011': 51, '0000100': 48, '1111111': 40}",400,10416.647,N/A,Secret number: 0001100
Bernstein-Vazirani,N/A,"{'0000100': 54, '1111000': 42, '0000111': 51, '0000000': 42, '1111100': 50, '1111011': 55, '0000011': 55, '1111111': 51}",400,10323.904,N/A,Secret number: 0000111
Bernstein-Vazirani,N/A,"{'1111111': 40, '0011111': 58, '0000010': 59, '0011101': 42, '0000000': 38, '1111101': 51, '1100000': 59, '1100010': 53}",400,10539.568,N/A,Secret number: 0100010
Bernstein-Vazirani,N/A,"{'1110011': 60, '0001100': 80, '0001110': 57, '0000000': 64, '0000010': 52, '1111111': 64, '1111101': 66, '1110001': 57}",500,10436.511,N/A,Secret number: 1011101
Bernstein-Vazirani,N/A,"{'1011101': 57, '0011101': 64, '0111111': 62, '1100010': 73, '0100010': 58, '1111111': 62, '0000000': 66, '1000000': 58}",500,10218.891,N/A,Secret number: 0101011
Bernstein-Vazirani,N/A,"{'1111111': 59, '0111111': 52, '0100010': 61, '1100010': 79, '0000000': 65, '1011101': 65, '1000000': 58, '0011101': 61}",500,11383.522,N/A,Secret number: 0101011
Bernstein-Vazirani,N/A,"{'1001110': 76, '0100000': 77, '1101110': 73, '0110001': 66, '1111111': 80, '0010001': 73, '0000000': 90, '1011111': 65}",600,10574.061,N/A,Secret number: 0110001
Bernstein-Vazirani,N/A,"{'0000101': 77, '1011010': 70, '1011111': 76, '1111010': 90, '0100101': 80, '0000000': 57, '0100000': 89, '1111111': 61}",600,10532.464,N/A,Secret number: 0100101
Bernstein-Vazirani,N/A,"{'1111100': 75, '0111100': 83, '0000011': 75, '0111111': 57, '0000000': 79, '1000011': 73, '1111111': 83, '1000000': 75}",600,10560.978,N/A,Secret number: 1000011
Bernstein-Vazirani,N/A,"{'0000000': 94, '0000010': 94, '1001000': 85, '0110111': 89, '1111111': 83, '0110101': 97, '1001010': 72, '1111101': 86}",700,10171.087,N/A,Secret number: 0001010
Bernstein-Vazirani,N/A,"{'0100010': 76, '0011101': 112, '1000000': 83, '0111111': 78, '0000000': 84, '1111111': 96, '1011101': 91, '1100010': 80}",700,10554.684,N/A,Secret number: 0110011
Bernstein-Vazirani,N/A,"{'0000000': 93, '0100000': 84, '0100011': 96, '1111111': 102, '0000011': 85, '1111100': 70, '1011111': 93, '1011100': 77}",700,10360.024,N/A,Secret number: 0100011
Bernstein-Vazirani,N/A,"{'0000010': 94, '1111111': 99, '0000000': 100, '1100111': 99, '0011010': 88, '0011000': 106, '1100101': 111, '1111101': 103}",800,12005.466,N/A,Secret number: 0111101
Bernstein-Vazirani,N/A,"{'1100010': 108, '1000010': 94, '1011111': 104, '0111101': 102, '0011101': 91, '0000000': 92, '0100000': 107, '1111111': 102}",800,10804.176,N/A,Secret number: 1001011
Bernstein-Vazirani,N/A,"{'1010111': 191, '0000000': 194, '1111111': 202, '0101000': 213}",800,10658.404,N/A,Secret number: 0111111
Bernstein-Vazirani,N/A,"{'0111111': 115, '0010100': 102, '1000000': 97, '1010100': 106, '0101011': 130, '0000000': 101, '1111111': 126, '1101011': 123}",900,11096.069,N/A,Secret number: 0011110
Bernstein-Vazirani,N/A,"{'0000000': 217, '1010000': 222, '1111111': 240, '0101111': 221}",900,10893.709,N/A,Secret number: 1111011
Bernstein-Vazirani,N/A,"{'1111111': 119, '1000000': 102, '0000000': 111, '1111010': 104, '0000101': 115, '0111010': 109, '1000101': 114, '0111111': 126}",900,10701.829,N/A,Secret number: 1000101
Bernstein-Vazirani,N/A,"{'0001010': 129, '0101010': 127, '1011111': 114, '1110101': 132, '1111111': 145, '1010101': 122, '0000000': 126, '0100000': 105}",1000,10386.642,N/A,Secret number: 0101010
Bernstein-Vazirani,N/A,"{'1001110': 124, '0100000': 128, '1011111': 132, '1111111': 120, '0010001': 120, '0110001': 143, '1101110': 113, '0000000': 120}",1000,10910.614,N/A,Secret number: 0110001
Bernstein-Vazirani,N/A,"{'0100100': 131, '1100100': 121, '1000000': 125, '0111111': 142, '1111111': 115, '1011011': 129, '0000000': 117, '0011011': 120}",1000,10134.109,N/A,Secret number: 0101110
Grover's Algorithm,N/A,"{'11': 55, '00': 45}",100,10316.444,N/A,"Iterations: 1, Target string: 11"
Grover's Algorithm,N/A,"{'11': 45, '00': 55}",100,9639.712,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'00': 46, '11': 54}",100,10147.452,N/A,"Iterations: 1, Target string: 10"
Grover's Algorithm,N/A,"{'11': 99, '00': 101}",200,10798.977,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'00': 100, '11': 100}",200,10121.054,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'11': 91, '00': 109}",200,10550.573,N/A,"Iterations: 1, Target string: 10"
Grover's Algorithm,N/A,"{'11': 122, '00': 178}",300,9942.556,N/A,"Iterations: 1, Target string: 10"
Grover's Algorithm,N/A,"{'00': 147, '11': 153}",300,11431.029,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'11': 155, '00': 145}",300,10359.537,N/A,"Iterations: 1, Target string: 01"
Grover's Algorithm,N/A,"{'11': 199, '00': 201}",400,10507.779,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'11': 195, '00': 205}",400,10276.661,N/A,"Iterations: 1, Target string: 10"
Grover's Algorithm,N/A,"{'11': 211, '00': 189}",400,10498.647,N/A,"Iterations: 1, Target string: 01"
Grover's Algorithm,N/A,"{'11': 262, '00': 238}",500,9573.818,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'11': 265, '00': 235}",500,10193.623,N/A,"Iterations: 1, Target string: 10"
Grover's Algorithm,N/A,"{'00': 265, '11': 235}",500,9679.551,N/A,"Iterations: 1, Target string: 01"
Grover's Algorithm,N/A,"{'00': 317, '11': 283}",600,10306.769,N/A,"Iterations: 1, Target string: 10"
Grover's Algorithm,N/A,"{'00': 311, '11': 289}",600,10304.192,N/A,"Iterations: 1, Target string: 11"
Grover's Algorithm,N/A,"{'11': 293, '00': 307}",600,10820.778,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'00': 325, '11': 375}",700,9585.135,N/A,"Iterations: 1, Target string: 10"
Grover's Algorithm,N/A,"{'11': 327, '00': 373}",700,9184.415,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'00': 333, '11': 367}",700,10432.526,N/A,"Iterations: 1, Target string: 11"
Grover's Algorithm,N/A,"{'11': 412, '00': 388}",800,9682.223,N/A,"Iterations: 1, Target string: 00"
Grover's Algorithm,N/A,"{'11': 393, '00': 407}",800,10360.404,N/A,"Iterations: 1, Target string: 11"
